KEGG Entry	Metabolism	Pathway	Total AMGs	Present AMG KOs
map00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	1	K15634
map00040	Carbohydrate metabolism	Pentose and glucuronate interconversions	6	K00008,K00012
map00051	Carbohydrate metabolism	Fructose and mannose metabolism	18	K00008,K01218,K01628,K01711,K02377,K16011
map00052	Carbohydrate metabolism	Galactose metabolism	11	K01784,K01854
map00053	Carbohydrate metabolism	Ascorbate and aldarate metabolism	4	K00012
map00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	35	K00012,K00820,K01233,K01711,K01784,K01791,K01854,K02377,K02473,K08678,K12450,K12452,K13010,K16011
map00620	Carbohydrate metabolism	Pyruvate metabolism	1	K04073
map00630	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	5	K00281,K01458,K01637,K01915,K02437
map00640	Carbohydrate metabolism	Propanoate metabolism	2	K01734,K11381
map00650	Carbohydrate metabolism	Butanoate metabolism	2	K01652,K04073
map00660	Carbohydrate metabolism	C5-Branched dibasic acid metabolism	1	K01652
map00562	Carbohydrate metabolism	Inositol phosphate metabolism	1	K01858
map00190	Energy metabolism	Oxidative phosphorylation	1	K02274
map00680	Energy metabolism	Methane metabolism	1	K15634
map00910	Energy metabolism	Nitrogen metabolism	1	K01915
map00920	Energy metabolism	Sulfur metabolism	9	K00390,K00860,K01738,K04091
map00061	Lipid metabolism	Fatty acid biosynthesis	1	K00059
map00100	Lipid metabolism	Steroid biosynthesis	1	K14424
map00140	Lipid metabolism	Steroid hormone biosynthesis	1	K01822
map00561	Lipid metabolism	Glycerolipid metabolism	3	K01046,K13677,K19002
map01040	Lipid metabolism	Biosynthesis of unsaturated fatty acids	4	K00507
map00230	Nucleotide metabolism	Purine metabolism	10	K00602,K00860,K01939,K01951
map00250	Amino acid metabolism	"Alanine, aspartate and glutamate metabolism"	13	K00820,K01915,K01939,K01953
map00260	Amino acid metabolism	"Glycine, serine and threonine metabolism"	3	K00281,K02437,K15634
map00270	Amino acid metabolism	Cysteine and methionine metabolism	32	K00558,K00789,K00797,K01243,K01738,K17398
map00280	Amino acid metabolism	"Valine, leucine and isoleucine degradation"	1	K11381
