"","Associatednumber","Sample","DNA_concentration_ng.uL","Station","StationNumber","Stromkilometer","Sample_type","Sample_date","Sat_O2_Perc","Temperature_TBDHereon","Salinity_PSU","Turbidity_NTU","pH","O2_uM","SPM_mgperL","DOC_mg.L","TN_mg.L","DIC_mg.L","Silicate_mg.L","Ammonium_mg.L","Nitrite_mg.L","Nitrate_mg.L","Total_DIN_uM","SRP_mgperL","TotalDissolvedPhosphate_mg.L","Ammonium_uM","Nitrite_uM","Nitrate_uM","SRP_uM","Phosphate_uM","Silicate_uM","DOC_uM.L","DIC_uM.L","RespirationRate_O2ug.L.h","POC_mgperL","PTC_mgperL","PTN_mgperL","PTH_mgperL","TEP_um2perL","CSP_um2perL","ParticleArea_um2perL","dCH4_uM","dCH4_nM","dCO2_uM","dCO2_nM","sampleid","AccessionNumber_TBDSven","data_type"
"1",1,"ML1",80,"Muhlenberger Loch",2,633.022,"Light_fraction","May-21",59.37,11.38,0.42,19.48,7.96,202.41,5.5,8.6575,2.3125,23.535,NA,10.358,1.574,95.09,107.02,NA,NA,10.358,1.574,95.09,NA,0.65,8.345,720.8156061,1959.502777,NA,1.951015827,2.494001108,3.260857354,0.78551216,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290250_METAT.genecount.profile","SAMEA110290250","METAT"
"2",1,"ML1",80,"Muhlenberger Loch",2,633.022,"Light_fraction","May-21",59.37,11.38,0.42,19.48,7.96,202.41,5.5,8.6575,2.3125,23.535,NA,10.358,1.574,95.09,107.02,NA,NA,10.358,1.574,95.09,NA,0.65,8.345,720.8156061,1959.502777,NA,1.951015827,2.494001108,3.260857354,0.78551216,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290250_METAG.genecount.profile","SAMEA110290250","METAG"
"3",2,"ML2",153,"Muhlenberger Loch",2,633.022,"Light_fraction","May-21",59.37,11.38,0.42,19.48,7.96,202.41,5.5,8.6575,2.3125,23.535,NA,10.358,1.574,95.09,107.02,NA,NA,10.358,1.574,95.09,NA,0.65,8.345,720.8156061,1959.502777,NA,1.91664967,2.383047515,2.545059398,0.68732314,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290251_METAT.genecount.profile","SAMEA110290251","METAT"
"4",2,"ML2",153,"Muhlenberger Loch",2,633.022,"Light_fraction","May-21",59.37,11.38,0.42,19.48,7.96,202.41,5.5,8.6575,2.3125,23.535,NA,10.358,1.574,95.09,107.02,NA,NA,10.358,1.574,95.09,NA,0.65,8.345,720.8156061,1959.502777,NA,1.91664967,2.383047515,2.545059398,0.68732314,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290251_METAG.genecount.profile","SAMEA110290251","METAG"
"5",3,"MH1",77,"Muhlenberger Loch",2,633.022,"Heavy_fraction","May-21",59.37,11.38,0.42,19.48,7.96,202.41,7.333333333,8.6575,2.3125,23.535,NA,10.358,1.574,95.09,107.02,NA,NA,10.358,1.574,95.09,NA,0.65,8.345,720.8156061,1959.502777,NA,2.718853964,3.168559675,1.291185613,0.68732314,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290252_METAT.genecount.profile","SAMEA110290252","METAT"
"6",3,"MH1",77,"Muhlenberger Loch",2,633.022,"Heavy_fraction","May-21",59.37,11.38,0.42,19.48,7.96,202.41,7.333333333,8.6575,2.3125,23.535,NA,10.358,1.574,95.09,107.02,NA,NA,10.358,1.574,95.09,NA,0.65,8.345,720.8156061,1959.502777,NA,2.718853964,3.168559675,1.291185613,0.68732314,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290252_METAG.genecount.profile","SAMEA110290252","METAG"
"7",4,"MH2",200,"Muhlenberger Loch",2,633.022,"Heavy_fraction","May-21",59.37,11.38,0.42,19.48,7.96,202.41,7.333333333,8.6575,2.3125,23.535,NA,10.358,1.574,95.09,107.02,NA,NA,10.358,1.574,95.09,NA,0.65,8.345,720.8156061,1959.502777,NA,2.661904332,3.277549488,3.012439134,0.88370118,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290253_METAG.genecount.profile","SAMEA110290253","METAG"
"8",4,"MH2",200,"Muhlenberger Loch",2,633.022,"Heavy_fraction","May-21",59.37,11.38,0.42,19.48,7.96,202.41,7.333333333,8.6575,2.3125,23.535,NA,10.358,1.574,95.09,107.02,NA,NA,10.358,1.574,95.09,NA,0.65,8.345,720.8156061,1959.502777,NA,2.661904332,3.277549488,3.012439134,0.88370118,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290253_METAT.genecount.profile","SAMEA110290253","METAT"
"9",5,"MF1",0.216,"Muhlenberger Loch",2,633.022,"Free_living","May-21",59.37,11.38,0.42,19.48,7.96,202.41,29.75,8.6575,2.3125,23.535,NA,10.358,1.574,95.09,107.02,NA,NA,10.358,1.574,95.09,NA,0.65,8.345,720.8156061,1959.502777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290254_METAT.genecount.profile","SAMEA110290254","METAT"
"10",5,"MF1",0.216,"Muhlenberger Loch",2,633.022,"Free_living","May-21",59.37,11.38,0.42,19.48,7.96,202.41,29.75,8.6575,2.3125,23.535,NA,10.358,1.574,95.09,107.02,NA,NA,10.358,1.574,95.09,NA,0.65,8.345,720.8156061,1959.502777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290254_METAG.genecount.profile","SAMEA110290254","METAG"
"11",6,"MF2",18,"Muhlenberger Loch",2,633.022,"Free_living","May-21",59.37,11.38,0.42,19.48,7.96,202.41,29.75,8.6575,2.3125,23.535,NA,10.358,1.574,95.09,107.02,NA,NA,10.358,1.574,95.09,NA,0.65,8.345,720.8156061,1959.502777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290255_METAG.genecount.profile","SAMEA110290255","METAG"
"12",6,"MF2",18,"Muhlenberger Loch",2,633.022,"Free_living","May-21",59.37,11.38,0.42,19.48,7.96,202.41,29.75,8.6575,2.3125,23.535,NA,10.358,1.574,95.09,107.02,NA,NA,10.358,1.574,95.09,NA,0.65,8.345,720.8156061,1959.502777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290255_METAT.genecount.profile","SAMEA110290255","METAT"
"13",7,"SchL1",157,"Schwarztonnensand",4,665.546,"Light_fraction","May-21",74.7,10.51,0.72,270,7.92,259.96,55.16666667,6.4745,1.6775,17.315,NA,0.118,0.05,137.3,137.47,NA,NA,0.118,0.05,137.3,NA,1.25,36.712,539.0610039,1441.631212,NA,18.11783797,24.05729179,4.285950723,5.20401806,NA,NA,NA,NA,NA,NA,NA,"GROS22.1_SAMEA110290256_METAT.genecount.profile","SAMEA110290256","METAT"
