Daten Übersicht ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redo,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ungefiltert,ungefiltert,,,,,,,,,,,
Cruise,ID,Date,Time,Station,Elbekilometer,Lat,Long,Salinity,Conductivity,Temp,Turbidity,Secchi Depth,Chlorophyll,pH,Oxygen,Oxygen,Oxygen corr,Oxygen corr,Silicate,Phosphate,Ammonium,Nitrite,Nitrate,Total DIN,SPM,Chla,C,C ,N,N [umol/L],C.N,d15N,d13C,d13Corg,d15N,TN,DOC,DOC,DIC,DIC,dCO2,dCH4,Respiration rate,
,,,UTC,,km,,,PSU,(µS/cm),° C,NTU,cm,Fluoresence,,µM,%,µM,%,µM,µM,µM,µM,µM,µM,mg/l,µg/l,mg/L,µmol/l,mg/L,µmol/l,,‰,‰,‰,‰,mg/l,mg/l,µmol/L,mg/l,µmol/L,µM,nM,µmol/L*h,µmol/l*d
LP210308,820,09/03/2021,06:45,Mühlenberger Loch,634.23,53.55,9.8,0.36,,5.14,20.34,,3.53,7.81,344.13,86.8,398.84,100.64,160.93,1.02,6.69,1.61,318.45,326.75,34.24,9.41,2.47,206.15,0.12,8.88,23.22,,,-28.17,8.72,NA,NA,NA,NA,NA,NA,NA,,
LP210308,821,09/03/2021,09:00,Schwarztonnensand,665.06,53.71,9.47,0.45,,5.59,127.45,,0.86,7.69,312.3,79.74,363.18,92.76,167.23,1.33,3.14,3.18,358.61,364.92,223.73,20.87,13.61,1133.77,0.83,59.13,19.17,,,-26.5,9.13,NA,NA,NA,NA,NA,NA,NA,,
LP210308,822,09/03/2021,11:00,Brunsbüttel,723.92,53.88,9.19,1.18,,5.34,159.8,,0.57,7.76,312.62,79.7,363.54,92.71,162.21,1.68,1.54,0.55,341.51,343.6,210.5,14.99,11.83,985.49,0.56,39.69,24.83,,,-26.13,8.57,NA,NA,NA,NA,NA,NA,NA,,
LP210308,823,09/03/2021,13:00,Medem Reede,723.92,53.87,8.73,13.9,,4.59,60.12,,0.65,8.03,320.12,87.13,371.95,101.19,102.93,1.58,2.07,1.39,204.11,207.57,84.9,6.57,4.08,339.6,0.2,14.19,23.93,,,-25.57,8.5,NA,NA,NA,NA,NA,NA,NA,,
LP210308,859,12/03/2021,09:00,Bunthaus,614.19,53.5,10.05,0.38,,5.93,7.66,,6.81,8,354.29,91.2,387.57,99.81,149.03,1.45,0,1.16,356.5,357.66,13.62,12.62,1.92,160.13,0.22,15.75,10.17,,,-30.9,10.21,NA,NA,NA,NA,NA,NA,NA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP210503,898,07/05/2021,05:50,Bunthaus,608.165,53.45,10.08,0.43,,10.35,17.6,,0,,328.82,94.12,381.69,109.5,-0.57,0,0.11,0.24,41.28,41.62,34.03,92.03,7.18,512.99,0.94,66.96,7.66,,,-28.53,5.94,4.87,8.88,739.67,19.82,1650.2,NA,NA,,
LP210503,899,07/05/2021,07:35 - 07:51,Mühlenberger Loch,633.022,53.55,9.82,0.42,,11.38,19.48,,0,7.96,202.41,59.37,240.11,70.54,8.35,0.65,10.36,1.57,95.09,107.02,29.75,19.1,2.91,207.86,0.37,26.58,7.82,,,-27.42,6.14,2.31,8.66,720.82,23.54,1959.5,NA,NA,,
LP210503,900,07/05/2021,09:20 - 09:35,Twielenfleth,651.955,53.61,9.56,0.47,,10.87,102.68,,0,7.79,229.39,66.33,270.33,78.52,16.42,0.87,0.3,0.11,96.88,97.29,326.4,21.23,20.68,1476.96,1.88,134.29,11,,,,,2.25,8.82,734.22,28.03,2333.34,NA,NA,,
LP210503,901,07/05/2021,10:35 - 10:50,Schwarztonnensand,665.546,53.72,9.47,0.72,,10.51,270,,0,7.92,259.96,74.7,304.57,87.86,36.71,1.25,0.12,0.05,137.3,137.47,443.9,24.55,22.48,1605.97,1.91,136.66,11.75,,,-25.75,7.52,1.68,6.47,539.06,17.32,1441.63,NA,NA,,
LP210503,902,08/05/2021,07:55 - 08:10,Brunsbüttel,692.01,53.89,9.2,1.3,,10.63,63.01,,0,8,274.68,79.11,321.05,93.22,34.91,1.01,0.36,0.07,95.78,96.21,89.25,8.05,4.61,329.4,0.4,28.82,11.43,,,-25.93,8.33,2.5,8.02,667.61,22.89,1905.38,NA,NA,,
LP210503,903,08/05/2021,09:54 - 10:04,Medem Reede,711.515,53.84,8.91,10.37,,10.43,47.83,,0,8.04,287.22,81.69,335.1,102.57,39.86,1.06,3.4,0.36,86.86,90.62,76.62,6.9,3.84,274.57,0.32,22.82,12.03,,,-25.11,8.17,1.85,7.2,599.17,19.98,1663.52,NA,NA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP210725,904,26/07/2021,09:43,Bunthaus,609.61,53.46,10.07,0.3,,22.07,16.15,,0,7.83,228.81,84.2,269.68,99.2,138.86,2.17,1.31,0.69,200.62,202.62,27.42,28.51,3.63,259.02,0.44,31.16,8.31,,,-31.38,7.29,,NA,,NA,,NA,NA,,
,,29/07/2021,06:29,Bunthaus,609.61,53.46,10.07,0.29,598,22.68,,70,,8.16,293.14,101.1,NA,NA,112.56,1.95,1.22,0.68,169.08,170.97,12.2,41.23,,,,,,,,,,,,,,,,,,
LP210725,949,30/07/2021,05:07 - 05:39,Mühlenberger Loch,632.88,53.55,9.82,0.32,,22.11,32.5,-,0,7.51,153.78,56.63,185.64,68.34,147.61,2.65,1.88,2.85,184.3,189.02,40.6,20.15,3.39,242.21,0.38,27.46,8.82,,,-27.75,8.57,1.08,6.63,552.22,17.41,1449.12,NA,NA,,
LP210725,950,30/07/2021,06:48 - 07:05,Twielenfleth,651.32,53.61,9.57,0.4,,21.97,24.75,30,0,7.58,155.6,57.16,187.68,68.94,133.25,3.05,0.46,0.29,187.8,188.55,33.6,8.94,2.83,202.1,0.28,20.3,9.95,,,-27.86,8.62,0.59,3.63,302.47,15.94,1327.15,NA,NA,,
LP210725,951,30/07/2021,07:53 - 08:20,Schwarztonnensand,665.41,53.72,9.47,0.48,,22.75,30.98,25,0,7.69,170.12,63.44,203.95,76.08,114.43,2.8,0.37,0.12,170.03,170.52,49.23,9.4,2.51,179.39,0.29,20.78,8.63,,,-26.93,9.1,0.7,4.52,376.66,13.74,1143.98,NA,NA,,
LP210725,952,30/07/2021,09:32 - 10:00,Brunsbüttel,692,53.89,9.2,1.39,,22.19,80.68,15,0,7.85,197.64,73.37,234.77,87.1,65.3,2.74,0.4,0.21,202.83,203.44,125.13,8.85,7.34,524.1,0.62,44.42,11.8,,,-25.8,9.03,0.57,3.75,312.26,12.94,1077.37,NA,NA,,
LP210725,953,30/07/2021,11:22 - 11:39,Medem Grund,714.98,53.85,8.86,5.02,,21.67,22.19,30,0,7.91,202.39,75.97,240.09,90.07,77.02,3.7,1.15,0.71,142.47,144.33,44.04,5.96,2.28,162.98,0.23,16.2,10.06,,,-25.69,8.32,0.56,3.66,304.81,15.58,1297.18,NA,NA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kollmar,22/11/2021,09:20,Kollmar,,,,,1045,8.6,,7,,7.72,,89.5,NA,NA,189.95,1.41,6.99,0.85,165.9,166.751,146.5,14.6,8.35,696.24,0.85,60.9,11.43,9.67,-20.79,-25.82,8.86,2.051,8.522,709.53,18.9,1573.6,89.3,653.6,,
,Seemanshöft,22/11/2021,11:55,Seemanshöft,,,,,983,8,,25,,7.9,,92,NA,NA,135.9,1.96,5.65,1.13,172.76,173.883,56.06,10,3.84,320.01,0.39,28.03,11.42,10.1,-21.89,-26.99,8.37,2.108,7.796,649.09,20.12,1675.17,96.64,233.7,,
,Bunthaus,22/11/2021,13:15,Bunthaus,,,,,960,8.5,,100,,7.98,,99.6,NA,NA,148.35,1.95,2.21,0.41,171.83,172.246,14.78,7.25,1.69,141.11,0.19,13.55,10.42,9.27,-26.38,-28.96,8.28,NA,NA,NA,NA,NA,110.07,372.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
