genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
GROS22-1_SAMEA110290260_MAG_00000131.fa,1_1,0.010000000000000009,average,ANImf,1
GROS22-1_SAMEA110290261_MAG_00000139.fa,1_1,0.010000000000000009,average,ANImf,1
GROS22-1_SAMEA110290278_MAG_00000081.fa,1_1,0.010000000000000009,average,ANImf,1
GROS22-1_SAMEA110290297_MAG_00000066.fa,2_1,0.010000000000000009,average,ANImf,2
GROS22-1_SAMEA110290315_MAG_00000160.fa,2_2,0.010000000000000009,average,ANImf,2
GROS22-1_SAMEA110290296_MAG_00000068.fa,2_3,0.010000000000000009,average,ANImf,2
GROS22-2_SAMEA112714849_MAG_00000359.fa,3_1,0.010000000000000009,average,ANImf,3
GROS22-2_SAMEA112714850_MAG_00000023.fa,3_1,0.010000000000000009,average,ANImf,3
GROS22-2_SAMEA112714845_MAG_00000129.fa,4_1,0.010000000000000009,average,ANImf,4
GROS22-2_SAMEA112714846_MAG_00000243.fa,4_1,0.010000000000000009,average,ANImf,4
GROS22-2_SAMEA112714847_MAG_00000155.fa,4_1,0.010000000000000009,average,ANImf,4
GROS22-2_SAMEA112714848_MAG_00000144.fa,4_1,0.010000000000000009,average,ANImf,4
GROS22-2_SAMEA112714849_MAG_00000182.fa,4_1,0.010000000000000009,average,ANImf,4
GROS22-2_SAMEA112714850_MAG_00000290.fa,4_1,0.010000000000000009,average,ANImf,4
GROS22-2_SAMEA112714861_MAG_00000065.fa,4_1,0.010000000000000009,average,ANImf,4
GROS22-1_SAMEA110290250_MAG_00000015.fa,5_1,0.010000000000000009,average,ANImf,5
GROS22-1_SAMEA110290251_MAG_00000055.fa,5_1,0.010000000000000009,average,ANImf,5
GROS22-1_SAMEA110290252_MAG_00000068.fa,5_1,0.010000000000000009,average,ANImf,5
GROS22-1_SAMEA110290253_MAG_00000109.fa,5_1,0.010000000000000009,average,ANImf,5
GROS22-1_SAMEA110290254_MAG_00000092.fa,5_1,0.010000000000000009,average,ANImf,5
GROS22-1_SAMEA110290255_MAG_00000107.fa,5_1,0.010000000000000009,average,ANImf,5
GROS22-1_SAMEA110290278_MAG_00000024.fa,5_1,0.010000000000000009,average,ANImf,5
GROS22-1_SAMEA110290279_MAG_00000120.fa,5_1,0.010000000000000009,average,ANImf,5
GROS22-1_SAMEA110290255_MAG_00000131.fa,6_1,0.010000000000000009,average,ANImf,6
GROS22-1_SAMEA110290272_MAG_00000128.fa,6_1,0.010000000000000009,average,ANImf,6
GROS22-1_SAMEA110290273_MAG_00000014.fa,6_1,0.010000000000000009,average,ANImf,6
GROS22-1_SAMEA110290272_MAG_00000150.fa,7_1,0.010000000000000009,average,ANImf,7
GROS22-1_SAMEA110290273_MAG_00000169.fa,7_1,0.010000000000000009,average,ANImf,7
GROS22-2_SAMEA112714785_MAG_00000183.fa,8_0,0.010000000000000009,average,ANImf,8
GROS22-1_SAMEA110290255_MAG_00000251.fa,9_0,0.010000000000000009,average,ANImf,9
GROS22-2_SAMEA112714814_MAG_00000136.fa,10_0,0.010000000000000009,average,ANImf,10
GROS22-2_SAMEA112714861_MAG_00000145.fa,11_0,0.010000000000000009,average,ANImf,11
GROS22-1_SAMEA110290250_MAG_00000050.fa,12_1,0.010000000000000009,average,ANImf,12
GROS22-1_SAMEA110290251_MAG_00000089.fa,12_1,0.010000000000000009,average,ANImf,12
GROS22-1_SAMEA110290252_MAG_00000052.fa,12_1,0.010000000000000009,average,ANImf,12
GROS22-1_SAMEA110290253_MAG_00000105.fa,12_1,0.010000000000000009,average,ANImf,12
GROS22-1_SAMEA110290268_MAG_00000001.fa,12_1,0.010000000000000009,average,ANImf,12
GROS22-1_SAMEA110290269_MAG_00000027.fa,12_1,0.010000000000000009,average,ANImf,12
GROS22-1_SAMEA110290270_MAG_00000039.fa,12_1,0.010000000000000009,average,ANImf,12
GROS22-1_SAMEA110290271_MAG_00000041.fa,12_1,0.010000000000000009,average,ANImf,12
GROS22-1_SAMEA110290272_MAG_00000029.fa,12_1,0.010000000000000009,average,ANImf,12
GROS22-1_SAMEA110290279_MAG_00000024.fa,12_1,0.010000000000000009,average,ANImf,12
GROS22-1_SAMEA110290268_MAG_00000052.fa,13_1,0.010000000000000009,average,ANImf,13
GROS22-1_SAMEA110290269_MAG_00000031.fa,13_1,0.010000000000000009,average,ANImf,13
GROS22-1_SAMEA110290270_MAG_00000006.fa,13_1,0.010000000000000009,average,ANImf,13
GROS22-1_SAMEA110290271_MAG_00000039.fa,13_1,0.010000000000000009,average,ANImf,13
GROS22-1_SAMEA110290272_MAG_00000043.fa,13_1,0.010000000000000009,average,ANImf,13
GROS22-1_SAMEA110290250_MAG_00000106.fa,14_1,0.010000000000000009,average,ANImf,14
GROS22-1_SAMEA110290251_MAG_00000072.fa,14_1,0.010000000000000009,average,ANImf,14
GROS22-1_SAMEA110290252_MAG_00000107.fa,14_1,0.010000000000000009,average,ANImf,14
GROS22-1_SAMEA110290253_MAG_00000032.fa,14_1,0.010000000000000009,average,ANImf,14
GROS22-1_SAMEA110290268_MAG_00000028.fa,14_1,0.010000000000000009,average,ANImf,14
GROS22-1_SAMEA110290270_MAG_00000038.fa,14_1,0.010000000000000009,average,ANImf,14
