user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
GROS22-1_SAMEA110290256_MAG_00000108	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 88.63, 0.841; GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 88.56, 0.901; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 85.35, 0.648; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 84.44, 0.819; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 84.34, 0.753; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 84.1, 0.407; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.1, 0.791; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 83.87, 0.764; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 83.72, 0.566; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 83.69, 0.632; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 83.42, 0.632; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 83.28, 0.78; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 83.06, 0.835; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 82.81, 0.835; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 81.44, 0.709; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 81.02, 0.473; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 81.02, 0.571	34.26	11	0.98808	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290257_MAG_00000073	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 88.97, 0.847; GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 88.69, 0.906; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 86.8, 0.661; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 84.86, 0.665; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 84.5, 0.801; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 84.37, 0.743; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.32, 0.762; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 84.29, 0.599; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 84.18, 0.611; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 84.02, 0.555; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 83.94, 0.752; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 83.28, 0.808; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 82.94, 0.805; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 82.8, 0.821; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 81.99, 0.681; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 81.26, 0.57; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 81.05, 0.498	84.31	11	0.99161	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290259_MAG_00000056	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 89.02, 0.928; GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 88.75, 0.902; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 86.31, 0.725; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 84.84, 0.797; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 84.5, 0.797; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.44, 0.824; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 84.16, 0.464; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 84.1, 0.771; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 84.05, 0.621; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 83.52, 0.699; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 83.51, 0.843; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 83.35, 0.654; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 83.27, 0.837; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 83.11, 0.824; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 82.03, 0.719; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 81.13, 0.595; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 81.0, 0.523	23.57	11	0.98708	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290260_MAG_00000082	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	N/A	N/A	N/A	N/A	N/A	GCA_002788515.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp002788515	88.63	0.781	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	taxonomic classification defined by topology and ANI	N/A	GCA_014384555.1, s__Nitrosopumilus sp014384555, 95.0, 82.74, 0.768; GCF_000299395.1, s__Nitrosopumilus sediminis, 95.0, 82.65, 0.832; GCF_013407165.1, s__Nitrosopumilus oxyclinae, 95.0, 82.56, 0.832; GCF_013407145.1, s__Nitrosopumilus cobalaminigenes, 95.0, 82.45, 0.845; GCA_024644105.1, s__Nitrosopumilus sp024644105, 95.0, 82.27, 0.703; GCA_024276695.1, s__Nitrosopumilus sp024276695, 95.0, 82.22, 0.832; GCF_000242875.2, s__Nitrosopumilus salaria, 95.0, 82.2, 0.703; GCA_013203245.1, s__Nitrosopumilus sp013203245, 95.0, 82.17, 0.755; GCA_013043295.1, s__Nitrosopumilus sp013043295, 95.0, 81.75, 0.677; GCA_013911135.1, s__Nitrosopumilus sp013911135, 95.0, 81.74, 0.697; GCA_016784625.1, s__Nitrosopumilus sp016784625, 95.0, 81.71, 0.51; GCA_905479565.1, s__Nitrosopumilus sp905479565, 95.0, 81.52, 0.755; GCF_013407185.1, s__Nitrosopumilus ureiphilus, 95.0, 81.5, 0.8; GCA_001510275.1, s__Nitrosopumilus sp001510275, 95.0, 81.39, 0.761; GCA_022565935.1, s__Nitrosopumilus sp022565935, 95.0, 81.29, 0.51; GCA_013215285.1, s__Nitrosopumilus sp013215285, 95.0, 81.28, 0.781; GCF_000956175.1, s__Nitrosopumilus adriaticus, 95.0, 81.25, 0.787; GCF_003175215.1, s__Nitrosopumilus zosterae, 95.0, 80.99, 0.781; GCA_905616385.1, s__Nitrosopumilus sp905616385, 95.0, 80.95, 0.394; GCA_905612275.1, s__Nitrosopumilus sp905612275, 95.0, 80.83, 0.355; GCF_014078525.1, s__Nitrosopumilus sp014078525, 95.0, 80.82, 0.787; GCA_022573895.1, s__Nitrosopumilus sp022573895, 95.0, 80.82, 0.684; GCA_022564385.1, s__Nitrosopumilus sp022564385, 95.0, 80.75, 0.645; GCA_001543015.1, s__Nitrosopumilus sp001543015, 95.0, 80.73, 0.703; GCA_018668425.1, s__Nitrosopumilus sp018668425, 95.0, 80.7, 0.652; GCA_002317795.1, s__Nitrosopumilus sp002317795, 95.0, 80.69, 0.684; GCA_013390905.1, s__Nitrosopumilus sp013390905, 95.0, 80.66, 0.684; GCA_016125975.1, s__Nitrosopumilus sp016125975, 95.0, 80.62, 0.697; GCA_022117465.1, s__Nitrosopumilus limneticus, 95.0, 80.62, 0.645; GCA_013867245.1, s__Nitrosopumilus sp013867245, 95.0, 80.57, 0.51; GCF_000875775.1, s__Nitrosopumilus piranensis, 95.0, 80.5, 0.684; GCA_902514095.1, s__Nitrosopumilus sp902514095, 95.0, 80.43, 0.458; GCA_905612295.1, s__Nitrosopumilus sp905612295, 95.0, 80.42, 0.445; GCA_000746765.1, s__Nitrosopumilus sp000746765, 95.0, 80.39, 0.632; GCF_006740685.1, s__Nitrosopumilus sp006740685, 95.0, 80.36, 0.742; GCA_003702465.1, s__Nitrosopumilus sp003702465, 95.0, 80.35, 0.568; GCF_002156965.1, s__Nitrosopumilus catalinensis, 95.0, 80.33, 0.619; GCA_902514275.1, s__Nitrosopumilus sp902514275, 95.0, 80.32, 0.445; GCA_014075315.1, s__Nitrosopumilus sp014075315, 95.0, 80.3, 0.6; GCA_018674605.1, s__Nitrosopumilus sp018674605, 95.0, 80.27, 0.335; GCF_001541925.1, s__Nitrosopumilus sp001541925, 95.0, 80.25, 0.658; GCF_000299365.1, s__Nitrosopumilus koreensis, 95.0, 80.21, 0.716; GCF_000018465.1, s__Nitrosopumilus maritimus, 95.0, 80.16, 0.761; GCA_018263505.1, s__Nitrosopumilus sp018263505, 95.0, 80.15, 0.684; GCA_002730325.1, s__Nitrosopumilus sp002730325, 95.0, 80.15, 0.626; GCA_003702495.1, s__Nitrosopumilus sp003702495, 95.0, 80.13, 0.587; GCA_020431995.1, s__Nitrosopumilus sp020431995, 95.0, 80.12, 0.594; GCA_021268355.1, s__Nitrosopumilus sp021268355, 95.0, 80.05, 0.619; GCA_003331425.1, s__Nitrosopumilus sp002690535, 95.0, 80.02, 0.652; GCA_001437625.1, s__Nitrosopumilus sp001437625, 95.0, 79.98, 0.574; GCA_905612485.1, s__Nitrosopumilus sp905612485, 95.0, 79.97, 0.497; GCA_003702525.1, s__Nitrosopumilus sp003702525, 95.0, 79.83, 0.71; GCA_003702545.1, s__Nitrosopumilus sp003702545, 95.0, 79.79, 0.645; GCA_018657375.1, s__Nitrosopumilus sp018657375, 95.0, 79.78, 0.368; GCA_013002265.1, s__Nitrosopumilus sp013002265, 95.0, 79.57, 0.555; GCA_014384445.1, s__Nitrosopumilus sp014384445, 95.0, 78.94, 0.477; GCA_008080815.1, s__Nitrosopumilus sp008080815, 95.0, 78.71, 0.458; GCA_002506665.1, s__Nitrosopumilus sp002506665, 95.0, 77.5, 0.265; GCA_007571135.1, s__Nitrosopumilus sp007571135, 95.0, 77.03, 0.271	32.9	11	0.99013	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290260_MAG_00000131	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA525;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA525;g__;s__	taxonomic novelty determined using RED	N/A	N/A	44.45	11	0.80669	N/A
GROS22-1_SAMEA110290260_MAG_00000208	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 88.59, 0.889; GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 88.59, 0.844; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 86.52, 0.787; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 84.78, 0.77; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.58, 0.718; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 84.4, 0.823; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 84.33, 0.704; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 84.24, 0.653; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 84.23, 0.711; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 84.17, 0.604; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 83.84, 0.715; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 83.23, 0.752; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 82.97, 0.773; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 82.88, 0.786; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 81.82, 0.661; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 81.1, 0.501; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 81.02, 0.544	71.28	11	0.98823	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290261_MAG_00000137	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 88.83, 0.851; GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 88.8, 0.917; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 86.73, 0.751; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 84.8, 0.735; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 84.61, 0.814; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.47, 0.765; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 84.4, 0.725; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 84.25, 0.581; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 84.12, 0.656; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 84.06, 0.705; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 83.94, 0.745; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 83.45, 0.788; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 83.12, 0.814; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 83.11, 0.802; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 81.94, 0.676; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 81.3, 0.507; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 81.2, 0.564	75.37	11	0.98806	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290261_MAG_00000139	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA525;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA525;g__;s__	taxonomic novelty determined using RED	N/A	N/A	25.09	11	0.80153	N/A
GROS22-1_SAMEA110290274_MAG_00000053	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 88.65, 0.873; GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 88.46, 0.942; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 86.52, 0.676; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 84.71, 0.41; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.38, 0.803; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 84.16, 0.838; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 83.96, 0.769; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 83.9, 0.647; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 83.85, 0.63; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 83.71, 0.566; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 83.67, 0.78; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 83.45, 0.827; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 82.88, 0.815; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 82.77, 0.85; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 81.6, 0.682; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 81.21, 0.549; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 81.04, 0.474	36.11	11	0.98769	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
GROS22-1_SAMEA110290275_MAG_00000028	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 88.49, 0.926; GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 88.35, 0.892; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 86.39, 0.676; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 84.8, 0.455; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 84.63, 0.716; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 84.56, 0.812; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.55, 0.79; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 84.08, 0.58; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 83.82, 0.778; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 83.74, 0.688; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 83.67, 0.648; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 83.47, 0.795; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 83.41, 0.773; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 82.72, 0.852; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 81.95, 0.665; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 81.42, 0.631; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 81.18, 0.5	49.62	11	0.9877	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
